Titles,Type,Episodes,Episode duration,Year,Demographic,Genres,Theme,Studio,Source,Members,Score
Elfen Lied,TV,13 eps,25 min ,2004,Seinen,"Action,Drama,Horror,Romance,Supernatural",Gore,Arms,Manga,1.4M,7.49
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13 eps,24 min ,2015,,"Action,Adventure,Fantasy",,J.C.Staff,Light novel,1.4M,7.55
Highschool of the Dead,TV,12 eps,24 min ,2010,Shounen,"Action,Horror,Supernatural,Ecchi",Gore,Madhouse,Manga,1.4M,7.08
Fate/Zero,TV,13 eps,28 min ,2011,,"Action,Fantasy,Supernatural",,ufotable,Light novel,1.4M,8.28
Fullmetal Alchemist,TV,51 eps,24 min ,2003,Shounen,"Action,Adventure,Drama,Fantasy",Military,Bones,Manga,1.4M,8.12
Mob Psycho 100 II,TV,13 eps,24 min ,2019,,"Action,Comedy,Supernatural",Super Power,Bones,Web manga,1.4M,8.81
Noragami Aragoto,TV,13 eps,24 min ,2015,Shounen,"Action,Fantasy",Mythology,Bones,Manga,1.4M,8.16
Durarara!!,TV,24 eps,24 min ,2010,,"Action,Mystery,Supernatural",,Brain's Base,Light novel,1.3M,8.11
Ansatsu Kyoushitsu 2nd Season,TV,25 eps,23 min ,2016,Shounen,"Action,Comedy",School,Lerche,Manga,1.3M,8.5
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1 ep,116 min ,2020,Shounen,"Action,Fantasy",Historical,ufotable,Manga,1.3M,8.63
Tensei shitara Slime Datta Ken,TV,24 eps,23 min ,2018,,"Action,Adventure,Comedy,Fantasy",Isekai,8bit,Manga,1.3M,8.14
Vinland Saga,TV,24 eps,24 min ,2019,Seinen,"Action,Adventure,Drama",Gore,Wit Studio,Manga,1.3M,8.73
Bungou Stray Dogs,TV,12 eps,23 min ,2016,Seinen,"Action,Mystery,Supernatural",Adult Cast,Bones,Manga,1.2M,7.82
Owari no Seraph,TV,12 eps,23 min ,2015,Shounen,"Action,Drama,Supernatural",Military,Wit Studio,Manga,1.2M,7.49
Spy x Family,TV,12 eps,24 min ,2022,Shounen,"Action,Comedy",Childcare,CloverWorks,Manga,1.2M,8.69
Enen no Shouboutai,TV,24 eps,23 min ,2019,Shounen,"Action,Supernatural",,David Production,Manga,1.2M,7.71
Deadman Wonderland,TV,12 eps,24 min ,2011,Shounen,"Action,Horror,Sci-Fi,Supernatural",Gore,Manglobe,Manga,1.2M,7.16
Guilty Crown,TV,22 eps,24 min ,2011,,"Action,Drama,Sci-Fi",Mecha,Production I.G,Original,1.2M,7.42
Samurai Champloo,TV,26 eps,24 min ,2004,,"Action,Adventure,Comedy",Historical,Manglobe,Original,1.2M,8.5
Mononoke Hime,Movie,1 ep,133 min ,1997,,"Action,Adventure,Award Winning,Fantasy",,Studio Ghibli,Original,1.2M,8.67
Dragon Ball Z,TV,291 eps,24 min ,1989,Shounen,"Action,Adventure,Comedy,Fantasy",Martial Arts,Toei Animation,Manga,1.1M,8.16
Kimetsu no Yaiba: Yuukaku-hen,TV,11 eps,26 min ,2021,Shounen,"Action,Fantasy",Historical,ufotable,Manga,1.1M,8.82
Kuroshitsuji,TV,24 eps,24 min ,2008,Shounen,"Action,Comedy,Mystery,Supernatural",Historical,A-1 Pictures,Manga,1.1M,7.67
