Titles,Type,Episodes,Episode duration,Year,Demographic,Genres,Theme,Studio,Source,Members,Score
Shinryaku! Ika Musume Specials,Special,2 eps,4 min ,2011,,Comedy,,Diomedéa,Manga,23K,7.27
Chicchana Yukitsukai Sugar,TV,24 eps,24 min ,2001,,"Comedy,Fantasy",,J.C.Staff,Original,23K,7.08
Dragon Quest: Dai no Daibouken (TV),TV,46 eps,24 min ,1991,Shounen,"Adventure,Comedy,Fantasy",Martial Arts,Toei Animation,Manga,23K,7.57
Beelzebub Specials,Special,16 eps,3 min ,2011,Shounen,"Action,Comedy,Supernatural",Childcare,Pierrot,Original,23K,7.34
Saiyuuki Reload Gunlock,TV,26 eps,24 min ,2004,Josei,"Action,Adventure,Comedy,Drama,Supernatural",Mythology,Pierrot,Manga,23K,7.38
Dragon Drive,TV,38 eps,25 min ,2002,Shounen,"Action,Adventure,Comedy,Fantasy,Sci-Fi",School,Madhouse,Manga,23K,6.69
Recorder to Randoseru Mi☆,TV,12 eps,3 min ,2013,Seinen,"Comedy,Slice of Life",School,Seven,4-koma manga,23K,6.62
Boys Be...,TV,13 eps,23 min ,2000,Shounen,"Comedy,Romance,Slice of Life",,Hal Film Maker,Manga,23K,6.4
Gokinjo Monogatari,TV,50 eps,25 min ,1995,Shoujo,"Comedy,Drama,Romance",Visual Arts,Toei Animation,Manga,22K,7.61
One Piece Film: Gold Episode 0 - 711 ver.,Special,1 ep,10 min ,2016,Shounen,"Action,Adventure,Comedy,Fantasy",Super Power,Toei Animation,Manga,22K,7.2
Hidamari Sketch x Honeycomb,TV,12 eps,24 min ,2012,,Comedy,CGDCT,Shaft,4-koma manga,22K,7.92
Danchigai: Juusan Goutou Sentou Ikitai!!,Special,1 ep,3 min ,2015,,"Comedy,Slice of Life",,Creators in Pack,4-koma manga,22K,6.43
Tsugumomo OVA,OVA,1 ep,22 min ,2020,Seinen,"Action,Comedy,Supernatural,Ecchi",Harem,Zero-G,Manga,22K,6.94
Duel Masters,TV,26 eps,21 min ,2002,Kids,"Action,Comedy,Fantasy",Strategy Game,A.C.G.T.,Manga,22K,5.83
iDOLM@STER Xenoglossia,TV,26 eps,23 min ,2007,,"Action,Comedy,Sci-Fi",Mecha,Sunrise,Original,22K,6.49
Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary,Special,16 eps,13 min ,2010,,Comedy,,I was a Ballerina,Light novel,22K,6.73
Seitokai no Ichizon Lv.2: Watasu Seitokai,OVA,1 ep,24 min ,2013,,Comedy,Harem,AIC,,22K,7.29
The iDOLM@STER: 765 Pro to Iu Monogatari,Special,1 ep,24 min ,2012,,"Comedy,Drama",Idols (Female),A-1 Pictures,Game,22K,7.46
Arashi no Yoru ni,Movie,1 ep,107 min ,2005,,"Adventure,Comedy,Drama,Fantasy",Anthropomorphic,Group TAC,Book,22K,7.66
Ani*Kuri15,Special,15 eps,1 min ,2007,,"Adventure,Comedy,Drama,Fantasy,Sci-Fi,Slice of Life,Supernatural",Martial Arts,CoMix Wave Films,Original,22K,6.72
Oushitsu Kyoushi Heine Movie,Movie,1 ep,60 min ,2019,Shounen,Comedy,Historical,Tear Studio,Manga,22K,7.35
Xie Wang Zhui Qi,ONA,13 eps,13 min ,2019,,"Action,Comedy,Drama,Fantasy,Romance",Martial Arts,Big Firebird Culture,Novel,22K,6.76
Prism Ark,TV,12 eps,24 min ,2007,,"Action,Comedy,Drama,Fantasy",,Front Line,Visual novel,22K,6.42
A-Channel+smile,OVA,2 eps,25 min ,2012,,Comedy,CGDCT,Studio Gokumi,4-koma manga,22K,7.09
Kyoukai no Rinne 3rd Season,TV,25 eps,24 min ,2017,Shounen,"Comedy,Supernatural",School,Brain's Base,Manga,22K,7.05
Ichigo Mashimaro Encore,OVA,2 eps,27 min ,2009,,"Comedy,Slice of Life",CGDCT,Daume,4-koma manga,22K,7.68
Ai Tenshi Densetsu Wedding Peach,TV,51 eps,24 min ,1995,Shoujo,"Comedy,Fantasy,Romance",Mahou Shoujo,OLM,Manga,22K,6.74
Meng Qi Shi Shen,ONA,12 eps,20 min ,2018,,"Comedy,Drama,Gourmet,Romance",Historical,Wawayu Animation,Novel,22K,7.28
Soul Link,TV,12 eps,25 min ,2006,,"Action,Adventure,Comedy,Romance,Sci-Fi",Military,Picture Magic,Visual novel,22K,6.1
Yama no Susume: Kabe tte Kowakunai no?,Special,1 ep,5 min ,2013,,"Comedy,Slice of Life",CGDCT,8bit,Manga,22K,6.73
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,TV,48 eps,7 min ,1998,,"Comedy,Supernatural",,OLM,4-koma manga,22K,6.89
Bernard-jou Iwaku.,TV,12 eps,3 min ,2016,,Comedy,School,Creators in Pack,Manga,22K,5.96
Joshiraku OVA,OVA,1 ep,23 min ,2013,Shounen,Comedy,Adult Cast,J.C.Staff,Manga,22K,7.39
Pokemon Movie 23: Koko,Movie,1 ep,99 min ,2020,Kids,"Action,Adventure,Comedy,Fantasy",Strategy Game,OLM,Game,22K,7.28
Bastard!! Ankoku no Hakaishin Part 2 (ONA),ONA,11 eps,25 min ,2022,Seinen,"Action,Adventure,Comedy,Fantasy,Ecchi",,LIDENFILMS,Manga,22K,6.73
Tentai Senshi Sunred,TV,26 eps,13 min ,2008,Seinen,Comedy,Gag Humor,AIC ASTA,Manga,22K,7.75
City Hunter '91,TV,13 eps,23 min ,1991,Shounen,"Action,Comedy,Mystery",,Sunrise,Manga,22K,7.75
Akachan to Boku,TV,35 eps,25 min ,1996,Shoujo,"Comedy,Drama",Childcare,Pierrot,Manga,21K,7.82
Aa! Megami-sama! (2011),OVA,3 eps,28 min ,2011,Seinen,"Comedy,Romance,Supernatural",,AIC,Manga,21K,7.33
New Panty & Stocking with Garterbelt,-,? eps,0 min , -,,"Action,Comedy,Supernatural,Ecchi",,Trigger,Original,21K,N/A
Null Peta,ONA,12 eps,5 min ,2019,,"Comedy,Sci-Fi",,Shin-Ei Animation,Mixed media,21K,6.39
Love♥Love?,TV,9 eps,14 min ,2004,,"Comedy,Romance,Ecchi",Harem,Imagin,Original,21K,5.86
Gate Keepers,TV,24 eps,25 min ,2000,,"Action,Comedy,Fantasy,Sci-Fi",Mecha,Gonzo,Game,21K,6.92
Isuca: Gokuraku,OVA,1 ep,23 min ,2015,Seinen,"Comedy,Romance,Supernatural,Ecchi",,Arms,Manga,21K,6.25
Black Cat (TV): Toozakaru Neko,Special,1 ep,24 min ,2006,Shounen,"Action,Adventure,Comedy,Sci-Fi",Super Power,Gonzo,Manga,21K,7.09
Teekyuu 4,TV,12 eps,2 min ,2015,Shounen,Comedy,,Millepensee,Manga,21K,6.67
Tetsuwan Birdy Decode: The Cipher,OVA,1 ep,27 min ,2009,Seinen,"Action,Comedy,Sci-Fi",,A-1 Pictures,Manga,21K,7.26
Mo Dao Zu Shi Q,ONA,30 eps,5 min ,2020,,"Comedy,Fantasy",Historical,B.CMAY PICTURES,Web novel,21K,8.06
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA,OVA,1 ep,28 min ,2021,Shoujo,"Comedy,Drama,Fantasy,Romance",Reincarnation,SILVER LINK.,Light novel,21K,6.84
Fate/Zero Cafe,Movie,2 eps,10 min ,2013,,Comedy,Parody,ufotable,4-koma manga,21K,5.97
Dragon Ball Z: Atsumare! Gokuu World,OVA,1 ep,30 min ,1992,Shounen,"Action,Adventure,Comedy,Fantasy",Martial Arts,Toei Animation,Manga,21K,6.44
Wan Sheng Jie,ONA,12 eps,4 min ,2020,,"Comedy,Supernatural",Mythology,Fenz,Web manga,21K,7.93
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,Movie,1 ep,74 min ,1991,Shounen,"Adventure,Comedy",Magical Sex Shift,Studio Deen,Manga,21K,7.23
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,OVA,1 ep,27 min ,2013,Shounen,Comedy,School,Tatsunoko Production,Manga,21K,7.92
Nekogami Yaoyorozu,TV,12 eps,23 min ,2011,Seinen,"Comedy,Slice of Life,Supernatural",CGDCT,AIC PLUS+,Manga,21K,6.62
Haikyuu!! Quest Picture Drama,OVA,3 eps,4 min ,2014,Shounen,"Comedy,Fantasy",Strategy Game,Production I.G,Manga,21K,6.66
Kenran Butou Sai: The Mars Daybreak,TV,26 eps,23 min ,2004,,"Action,Adventure,Comedy,Romance,Sci-Fi",Mecha,Bones,Original,21K,7.15
Osomatsu-san 3rd Season,TV,25 eps,23 min ,2020,,Comedy,Gag Humor,Pierrot,Manga,21K,7.37
Mezzo DSA,TV,13 eps,25 min ,2004,,"Action,Adventure,Comedy,Mystery,Sci-Fi",,Arms,Original,21K,6.66
Hakumei no Tsubasa,ONA,7 eps,6 min ,2020,Kids,"Action,Adventure,Comedy,Fantasy",,FILMONY,Game,21K,7.54
Mahou Senshi Louie,TV,24 eps,23 min ,2001,,"Adventure,Comedy,Fantasy",,J.C.Staff,Light novel,21K,7.16
Utawarerumono OVA,OVA,3 eps,29 min ,2009,,"Action,Comedy,Fantasy",,Chaos Project,Visual novel,21K,7.19
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,Special,1 ep,24 min ,2008,Shounen,"Comedy,Slice of Life",Iyashikei,Hal Film Maker,Manga,21K,7.97
Pupipo!,TV,15 eps,4 min ,2013,,"Comedy,Slice of Life,Supernatural",School,AIC PLUS+,Manga,21K,6.8
Weiß Survive,TV,16 eps,2 min ,2009,,"Comedy,Ecchi",Strategy Game,Studio Hibari,Card game,21K,6.04
Free! Dive to the Future - Soushun no Build-up!,Special,1 ep,23 min ,2018,,Comedy,School,Animation Do,Original,21K,7.56
Overlord Movie: Manner Movie,Movie,1 ep,1 min ,2017,,Comedy,,Studio PuYUKAI,Light novel,21K,6.88
Lupin III: Part III,TV,50 eps,24 min ,1984,Seinen,"Action,Adventure,Comedy",Adult Cast,Tokyo Movie Shinsha,Manga,21K,7.29
Chocotto Sister,TV,24 eps,24 min ,2006,,"Comedy,Drama,Romance,Ecchi",,Nomad,Manga,21K,6.76
Binbou Shimai Monogatari,TV,10 eps,24 min ,2006,Seinen,"Comedy,Drama,Slice of Life",Iyashikei,Toei Animation,Manga,21K,6.86
Bakuretsu Hunters,TV,26 eps,25 min ,1995,Shounen,"Adventure,Comedy,Fantasy,Supernatural,Ecchi",,Xebec,Manga,21K,6.67
Robot Girls Z,Special,3 eps,27 min ,2014,,Comedy,Mecha,Toei Animation,Original,20K,6.47
BanG Dream! Garupa☆Pico,ONA,26 eps,3 min ,2018,,Comedy,Music,DMM.futureworks,Original,20K,7.76
Koharu Biyori,OVA,3 eps,30 min ,2007,,"Comedy,Sci-Fi,Ecchi",,Daume,Manga,20K,6.59
Shitcom,ONA,1 ep,1 min ,2012,,"Comedy,Romance",,Unknown,Original,20K,2.76
Super GALS! Kotobuki Ran,TV,52 eps,24 min ,2001,Shoujo,"Comedy,Slice of Life",,Pierrot,Manga,20K,7.39
Hibike! Euphonium 2 Specials,Special,7 eps,2 min ,2016,,Comedy,Music,Kyoto Animation,Original,20K,6.74
Poyopoyo Kansatsu Nikki,TV,52 eps,3 min ,2012,Seinen,"Comedy,Slice of Life",Pets,Studio Deen,4-koma manga,20K,7.65
.hack//Gift,OVA,1 ep,26 min ,2003,,"Comedy,Fantasy",Video Game,Bee Train,Original,20K,6.11
Utsu Musume Sayuri,OVA,1 ep,3 min ,2003,,"Avant Garde,Comedy",,Unknown,Original,20K,1.98
To Heart 2,TV,13 eps,24 min ,2005,,"Comedy,Drama,Romance",Harem,OLM,Visual novel,20K,6.49
Fake,OVA,1 ep,58 min ,1998,,"Boys Love,Comedy,Mystery,Romance",Detective,J.C.Staff,Manga,20K,6.51
Dragon Half,OVA,2 eps,27 min ,1993,,"Comedy,Fantasy",Parody,Production I.G,Manga,20K,6.85
Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,Movie,1 ep,60 min ,1992,Shounen,"Adventure,Comedy",Magical Sex Shift,Studio Deen,Manga,20K,7.41
Kami Kuzu☆Idol,TV,10 eps,23 min ,2022,Josei,"Comedy,Supernatural",Idols (Female),Studio Gokumi,Manga,20K,6.74
Shin Koihime†Musou: Otome Tairan,TV,12 eps,25 min ,2010,,"Adventure,Comedy,Fantasy,Ecchi",Historical,Doga Kobo,Visual novel,20K,6.97
Chitose Get You!!,TV,26 eps,3 min ,2012,Seinen,"Comedy,Romance",School,SILVER LINK.,4-koma manga,20K,6.21
Detective Conan OVA 09: The Stranger in 10 Years...,OVA,1 ep,22 min ,2009,Shounen,"Adventure,Comedy,Mystery",Detective,TMS Entertainment,Manga,20K,7.92
Overlord Movie: Ple Ple Pleiades,Movie,2 eps,13 min ,2017,,"Action,Comedy,Fantasy",,Studio PuYUKAI,Light novel,20K,6.85
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,TV,12 eps,24 min ,2016,,"Comedy,Sci-Fi",Detective,Production IMS,Original,20K,6.34
FLCL: Grunge,TV,? eps,0 min ,2023,,"Action,Avant Garde,Comedy,Sci-Fi",Mecha,MontBlanc Pictures,Original,20K,N/A
Taishou Yakyuu Musume.,TV,12 eps,24 min ,2009,,"Comedy,Sports",Historical,J.C.Staff,Light novel,20K,7.37
Natsu no Arashi! Akinaichuu,TV,13 eps,24 min ,2009,Shounen,"Comedy,Romance,Supernatural",Time Travel,Shaft,Manga,20K,7.28
Coyote Ragtime Show,TV,12 eps,24 min ,2006,,"Action,Adventure,Comedy,Sci-Fi",Mecha,ufotable,Original,20K,6.63
Vampire Holmes,TV,12 eps,3 min ,2015,,"Comedy,Mystery,Supernatural",,Studio! Cucuri,Game,20K,3.29
Ojamajo Doremi Sharp,TV,49 eps,24 min ,2000,Shoujo,Comedy,Childcare,Toei Animation,Original,20K,7.42
Ao Oni The Animation,TV,13 eps,3 min ,2016,,"Comedy,Horror",Gore,Studio Deen,Game,20K,5.08
Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi - School Attendance Day,OVA,1 ep,24 min ,2011,,"Comedy,Romance,Supernatural,Ecchi",Vampire,Zexcs,Light novel,20K,6.9
Lupin III: Part 6,TV,24 eps,23 min ,2021,Seinen,"Action,Adventure,Comedy,Mystery",Adult Cast,TMS Entertainment,Manga,20K,7.18
Tenchi Muyou! Ryououki 3rd Season,OVA,6 eps,30 min ,2003,,"Action,Comedy,Sci-Fi",Harem,AIC,Original,20K,7.28
Digimon Frontier: Ornismon Fukkatsu!!,Movie,1 ep,40 min ,2002,,"Adventure,Comedy,Drama,Fantasy",,Toei Animation,Original,20K,6.84
Mouse,TV,12 eps,14 min ,2003,Shounen,"Action,Comedy,Ecchi",Harem,Studio Deen,Manga,20K,6
Miss Monochrome The Animation 2,TV,13 eps,7 min ,2015,,"Comedy,Slice of Life",Idols (Female),LIDENFILMS,Original,20K,6.48
Doraemon,TV,26 eps,25 min ,1973,Kids,"Adventure,Comedy,Fantasy",Anthropomorphic,Unknown,Manga,20K,7.37
Thermae Romae Novae,ONA,11 eps,29 min ,2022,Seinen,"Comedy,Slice of Life",Historical,NAZ,Manga,20K,7.21
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,Special,26 eps,1 min ,2004,,"Comedy,Sci-Fi",Mecha,Production I.G,,20K,7.15
Motto! Ojamajo Doremi,TV,50 eps,24 min ,2001,Shoujo,"Comedy,Fantasy",,Toei Animation,Original,20K,7.42
City Hunter 3,TV,13 eps,24 min ,1989,Shounen,"Action,Comedy,Mystery",,Sunrise,Manga,20K,7.8
Tiger & Bunny 2,ONA,13 eps,24 min ,2022,,"Action,Comedy,Mystery",Adult Cast,Bandai Namco Pictures,Original,20K,7.47
Kick-Heart,Movie,1 ep,12 min ,2013,,"Comedy,Romance,Sports",Combat Sports,Production I.G,Original,20K,6.39
Hidamari Sketch Specials,Special,2 eps,24 min ,2007,,"Comedy,Slice of Life",CGDCT,Shaft,4-koma manga,20K,7.53
Kyuuketsuki Sugu Shinu 2,TV,12 eps,23 min ,2023,Shounen,"Comedy,Supernatural",Adult Cast,Madhouse,Manga,20K,7.42
Oda Cinnamon Nobunaga,TV,12 eps,23 min ,2020,Seinen,"Comedy,Slice of Life",Anthropomorphic,Studio Signpost,Manga,20K,6.59
Slayers Excellent,OVA,3 eps,29 min ,1998,,"Adventure,Comedy,Fantasy,Supernatural",Mythology,J.C.Staff,Light novel,20K,7.3
CLAMP in Wonderland 2,Music,1 ep,5 min ,2007,,"Action,Comedy,Drama,Fantasy,Romance",Music,Madhouse,Manga,20K,7.44
Yama no Susume: Next Summit,TV,12 eps,24 min ,2022,,"Adventure,Comedy,Slice of Life",CGDCT,8bit,Manga,20K,7.61
Tamayura: More Aggressive,TV,12 eps,24 min ,2013,,"Comedy,Drama,Slice of Life",CGDCT,TYO Animations,Original,20K,7.56
Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,Special,1 ep,24 min ,2014,,"Action,Comedy,Fantasy",,A-1 Pictures,Original,20K,6.72
Shaman King Specials,Special,5 eps,35 min ,2002,Shounen,"Action,Comedy,Supernatural",,Xebec,Manga,20K,7.25
Muteki Kanban Musume,TV,12 eps,24 min ,2006,Shounen,"Action,Comedy",Martial Arts,Telecom Animation Film,Manga,20K,7.1
Digimon Ghost Game,TV,? eps,23 min ,2021,,"Action,Adventure,Comedy,Fantasy",,Toei Animation,Other,20K,6.87
Yawara!,TV,124 eps,25 min ,1989,Seinen,"Comedy,Drama,Romance,Sports",Combat Sports,Madhouse,Manga,20K,7.5
UFO Princess Valkyrie,TV,12 eps,23 min ,2002,,"Comedy,Sci-Fi,Ecchi",,TNK,Manga,20K,6.75
Negima!? Haru Special!?,OVA,1 ep,24 min ,2006,Shounen,"Comedy,Fantasy,Romance,Ecchi",Harem,GANSIS,Manga,20K,7.07
Cat's Eye,TV,73 eps,25 min ,1983,Shounen,"Action,Adventure,Comedy,Mystery,Romance",,Tokyo Movie Shinsha,Manga,20K,7.19
Slayers Return,Movie,1 ep,60 min ,1996,,"Adventure,Comedy,Fantasy",,J.C.Staff,Light novel,20K,7.31
GA: Geijutsuka Art Design Class,TV,12 eps,24 min ,2009,,"Comedy,Slice of Life",CGDCT,AIC PLUS+,4-koma manga,19K,7.14
Hetalia World★Stars,ONA,12 eps,5 min ,2021,,Comedy,Anthropomorphic,Studio Deen,Manga,19K,6.84
Gyakuten Sekai no Denchi Shoujo,TV,12 eps,23 min ,2021,,"Action,Comedy,Sci-Fi",Mecha,Lerche,Original,19K,6.31
Yuu☆Yuu☆Hakusho: Two Shots/Noru ka Soru ka,Special,2 eps,15 min ,2018,Shounen,"Action,Adventure,Comedy,Supernatural",Martial Arts,Pierrot,Manga,19K,7.4
Detective Conan OVA 01: Conan vs. Kid vs. Yaiba - Houtou Soudatsu Daikessen!!,OVA,1 ep,24 min ,2000,Shounen,"Adventure,Comedy,Mystery",,TMS Entertainment,Manga,19K,7.23
Jinrui wa Suitai Shimashita Specials,Special,6 eps,2 min ,2012,,"Comedy,Fantasy",,AIC ASTA,Light novel,19K,7.2
Shakugan no Shana-tan III (Final): Final Destruction,Special,2 eps,9 min ,2012,,Comedy,Parody,J.C.Staff,,19K,7.01
Stand By Me Doraemon 2,Movie,1 ep,95 min ,2020,Kids,"Comedy,Sci-Fi",,Shin-Ei Animation,Manga,19K,8.19
"Kanojo, Okarishimasu Petit",ONA,15 eps,1 min ,2020,,Comedy,,AQUA ARIS,Manga,19K,5.97
Jigoku Sensei Nube,TV,49 eps,24 min ,1996,Shounen,"Adventure,Comedy,Horror,Romance,Supernatural",School,Toei Animation,Manga,19K,7.56
Senran Kagura Estival Versus: Mizugi-darake no Zenyasai,OVA,1 ep,30 min ,2015,,"Action,Comedy,Ecchi",,Artland,Game,19K,6.49
Nichijou: Original Jikai Yokoku,Special,25 eps,0 min ,2011,,Comedy,Gag Humor,Kyoto Animation,Manga,19K,7.01
Gokujou Seitokai,TV,26 eps,25 min ,2005,,"Comedy,Slice of Life",School,J.C.Staff,Original,19K,6.91
Tsuyokiss,TV,12 eps,25 min ,2006,,"Comedy,Romance,Slice of Life",School,Studio Hibari,Visual novel,19K,6.57
A-Channel: +A-Channel,Special,11 eps,2 min ,2011,,"Comedy,Slice of Life",CGDCT,Studio Gokumi,4-koma manga,19K,6.96
Yao Jing Zhong Zhi Shou Ce,ONA,14 eps,21 min ,2020,,"Action,Comedy,Drama,Fantasy,Slice of Life,Ecchi",,Big Firebird Culture,Manga,19K,6.54
Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm,Movie,1 ep,62 min ,2019,,"Action,Comedy",Mahou Shoujo,SILVER LINK.,Manga,19K,6.56
Slayers Great,Movie,1 ep,59 min ,1997,,"Adventure,Comedy,Fantasy",,J.C.Staff,Light novel,19K,7.32
Comic Party,TV,13 eps,24 min ,2001,,"Comedy,Drama",Otaku Culture,OLM,Visual novel,19K,6.58
AIKa Zero,OVA,3 eps,26 min ,2009,,"Action,Adventure,Comedy,Ecchi",,Studio Fantasia,Original,19K,5.87
Cike Wu Liuqi Fanwai,ONA,4 eps,11 min ,2018,,"Action,Comedy,Drama,Mystery,Romance",Martial Arts,Unknown,Original,19K,7.52
"Boku no Imouto wa ""Osaka Okan""",TV,12 eps,3 min ,2012,,"Comedy,Gourmet",,Charaction,Original,19K,5.76
Project A-Ko,Movie,1 ep,83 min ,1986,,"Action,Adventure,Comedy,Sci-Fi",Mecha,APPP,Original,19K,6.85
Kud Wafter,OVA,1 ep,50 min ,2020,,"Comedy,Romance",School,J.C.Staff,Visual novel,19K,7
Slayers Special,OVA,3 eps,29 min ,1996,,"Adventure,Comedy,Fantasy,Supernatural",,J.C.Staff,Light novel,19K,7.34
Pokemon: Pika Pika Hoshizora Camp,Movie,1 ep,22 min ,2002,Kids,"Adventure,Comedy,Fantasy",,OLM,Game,19K,6.49
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",OVA,1 ep,15 min ,2009,,"Comedy,Fantasy",School,Production I.G,Light novel,19K,6.86
Chuuka Ichiban!,TV,52 eps,23 min ,1997,Shounen,"Action,Comedy,Drama,Gourmet",,Nippon Animation,Manga,19K,7.59
Slayers Premium,Movie,1 ep,33 min ,2001,,"Adventure,Comedy,Fantasy",,Hal Film Maker,Light novel,19K,7.17
Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen,Special,1 ep,14 min ,2017,,Comedy,School,ufotable,Game,19K,6.32
Teekyuu 5,TV,12 eps,2 min ,2015,Shounen,Comedy,,Millepensee,Manga,19K,6.65
Iketeru Futari,TV,16 eps,8 min ,1999,Seinen,"Comedy,Romance,Ecchi",School,J.C.Staff,Manga,19K,6.56
Yamada-kun to Lv999 no Koi wo Suru,TV,? eps,0 min ,2023,,"Comedy,Romance",Video Game,Madhouse,Manga,19K,N/A
Mayoi Neko Overrun! Specials,Special,6 eps,3 min ,2010,,"Comedy,Ecchi",,AIC,,19K,6.68
Akane Maniax,OVA,3 eps,27 min ,2004,,"Comedy,Romance",Mecha,Silver,Visual novel,19K,5.73
Slayers Gorgeous,Movie,1 ep,60 min ,1998,,"Adventure,Comedy,Fantasy,Supernatural",,J.C.Staff,Light novel,18K,7.31
Jie Yao,ONA,13 eps,18 min ,2020,,"Boys Love,Comedy,Slice of Life",,Seven Stone Entertainment,Light novel,18K,7.07
Narue no Sekai,TV,12 eps,24 min ,2003,Shounen,"Comedy,Romance,Sci-Fi",,Studio Live,Manga,18K,6.53
Wagamama☆Fairy Mirumo de Pon!,TV,172 eps,21 min ,2002,Shoujo,"Adventure,Comedy,Drama,Fantasy,Romance",School,Studio Hibari,Manga,18K,7.29
Binzume Yousei,TV,13 eps,13 min ,2003,,"Comedy,Fantasy",CGDCT,Xebec,Original,18K,6.43
Ikkitousen: Great Guardians Specials,Special,6 eps,2 min ,2008,,"Comedy,Ecchi",,Arms,,18K,6.55
Sabage-bu! Specials,Special,6 eps,10 min ,2014,Shoujo,"Action,Comedy",CGDCT,Pierrot Plus,Manga,18K,7.27
Overlord: Ple Ple Pleiades - Clementine Toubou-hen,ONA,3 eps,10 min ,2018,,"Action,Comedy,Fantasy",,Studio PuYUKAI,Light novel,18K,6.64
Loveless Specials,Special,6 eps,2 min ,2005,Josei,"Boys Love,Comedy,Fantasy,Romance,Supernatural",,J.C.Staff,Manga,18K,6.49
Nishi no Yoki Majo: Astraea Testament,TV,13 eps,24 min ,2006,,"Comedy,Drama,Fantasy,Mystery,Romance",,Hal Film Maker,Light novel,18K,6.7
Ichigo 100% Special 2,Special,1 ep,23 min ,2005,Shounen,"Comedy,Romance,Ecchi",,Madhouse,Manga,18K,6.82
Ranma ½ Super,OVA,3 eps,26 min ,1995,Shounen,"Action,Adventure,Comedy,Romance,Supernatural",Martial Arts,Studio Deen,Manga,18K,7.64
El Hazard: The Magnificent World,OVA,7 eps,34 min ,1995,,"Adventure,Comedy,Fantasy,Romance",Isekai,AIC,Original,18K,7.27
R-15: R15 Shounen Hyouryuuki,OVA,1 ep,29 min ,2011,,"Adventure,Comedy,Romance,Ecchi",Harem,AIC,,18K,6.67
Ranma ½: Yomigaeru Kioku,OVA,2 eps,30 min ,1994,Shounen,"Comedy,Drama,Romance",Magical Sex Shift,Studio Deen,Manga,18K,7.59
Cutie Honey Universe,TV,12 eps,23 min ,2018,Shounen,"Action,Comedy,Romance,Sci-Fi",,Production Reed,Manga,18K,5.43
Sonic★the★Hedgehog,OVA,2 eps,30 min ,1996,,"Adventure,Comedy,Sci-Fi",,Pierrot,Game,18K,6.86
Juubee-chan: Lovely Gantai no Himitsu,TV,13 eps,25 min ,1999,,"Action,Adventure,Comedy,Drama",,Madhouse,Original,18K,6.68
6 Lovers,OVA,6 eps,3 min ,2021,,"Boys Love,Comedy,Drama,Romance,Slice of Life,Supernatural,Erotica",School,Soft Garage,Manga,18K,5.53
Yatogame-chan Kansatsu Nikki Nisatsume,TV,12 eps,3 min ,2020,Shounen,"Comedy,Slice of Life",School,Creators in Pack,4-koma manga,18K,6.36
Strike Witches: 501 Butai Hasshin Shimasu!,TV,12 eps,13 min ,2019,Shounen,"Comedy,Sci-Fi",CGDCT,Acca effe,Manga,18K,6.59
Servamp Specials,Special,4 eps,5 min ,2016,Josei,Comedy,,Platinum Vision,Manga,18K,6.91
Warau Salesman New,TV,12 eps,23 min ,2017,Seinen,"Comedy,Drama",Adult Cast,Shin-Ei Animation,Manga,18K,6.28
Mitsudomoe: Oppai Ippai Mama Genki,Special,1 ep,23 min ,2011,Shounen,"Comedy,Slice of Life",Gag Humor,Bridge,Manga,18K,7.54
Koyomi History,Special,1 ep,3 min ,2016,,Comedy,,Shaft,Light novel,18K,6.62
Cinderella Girls Gekijou,TV,13 eps,3 min ,2017,,"Comedy,Slice of Life",Idols (Female),Gathering,4-koma manga,18K,6.54
Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,ONA,24 eps,0 min ,2017,,Comedy,,Kyoto Animation,,18K,6.93
Sayonara Zetsubou Sensei Special,Special,1 ep,24 min ,2012,Shounen,"Comedy,Mystery",Gag Humor,Shaft,Manga,18K,7.47
Tantei Opera Milky Holmes Dai 2 Maku,TV,12 eps,24 min ,2012,,"Comedy,Mystery",Super Power,Artland,Original,18K,7.2
Gakuen Basara,TV,12 eps,24 min ,2018,,"Action,Comedy",School,Brain's Base,Game,18K,6.18
Minami-ke Natsuyasumi,OVA,1 ep,28 min ,2013,Seinen,"Comedy,Slice of Life",CGDCT,feel.,Manga,18K,7.37
